timestamp,level,logger,message,user_id,chat_id,message_id,handler
"2025-10-06 10:42:48,386",INFO,root,Запуск polling (попытка 1/10),,,,
"2025-10-06 10:42:48,387",INFO,root,Бот работает: 0ч 0мин,,,,
"2025-10-06 10:43:23,199",INFO,root,Автоматически отправлен файл: files/Operational Checklist .pdf,,,,
"2025-10-06 10:43:33,618",INFO,root,User message received: рассрочка...,396074375,396074375,900,message_handler
"2025-10-06 10:43:33,732",INFO,faq_loader,Found match for 'рассрочка...' with similarity 0.929,,,,
"2025-10-06 10:43:34,582",INFO,root,Автоматически отправлена ссылка: https://telegra.ph/Instrukciya-oformleniya-rassrochki-v-1S-04-02,,,,
"2025-10-06 10:43:47,888",INFO,root,Успешно отправлен файл: files/photo_2025-09-08_20-59-17.jpg,,,,
"2025-10-06 10:44:24,656",INFO,database,Statistics exported to: analytics_report_20251006_104424.txt,,,,
"2025-10-06 10:44:24,869",INFO,root,Успешно отправлен файл статистики,,,,
"2025-10-06 10:45:04,480",INFO,root,User message received: рассрычка...,396074375,396074375,911,message_handler
"2025-10-06 10:45:04,603",INFO,faq_loader,"No matches for 'рассрычка...' (max similarity: 0.678, threshold: 0.700)",,,,
"2025-10-06 10:45:04,603",INFO,root,Не найдено совпадений для запроса: 'рассрычка',,,,
"2025-10-06 10:45:04,750",INFO,database,Logged unanswered question: рассрычка...,,,,
"2025-10-06 10:45:21,292",INFO,root,User message received: LLM...,396074375,396074375,913,message_handler
"2025-10-06 10:45:21,402",INFO,faq_loader,Found match for 'LLM...' with similarity 0.742,,,,
"2025-10-06 10:45:44,861",INFO,root,User message received: Категории...,396074375,396074375,915,message_handler
"2025-10-06 10:45:44,987",INFO,faq_loader,Found match for 'Категории...' with similarity 1.000,,,,
"2025-10-06 10:45:48,671",INFO,root,Автоматически отправлен файл: files/Новые Категории 0.3.pdf,,,,
"2025-10-06 10:45:59,214",INFO,root,User message received: КТЧ...,396074375,396074375,918,message_handler
"2025-10-06 10:45:59,325",INFO,faq_loader,Found match for 'КТЧ...' with similarity 0.797,,,,
"2025-10-06 10:45:59,720",INFO,root,Автоматически отправлен файл: files/image_2024-12-24_11-47-34.png,,,,
"2025-10-06 10:46:08,194",INFO,root,User message received: VPN...,396074375,396074375,921,message_handler
"2025-10-06 10:46:08,314",INFO,faq_loader,Found match for 'VPN...' with similarity 1.000,,,,
"2025-10-06 10:46:22,011",INFO,root,User message received: РОП...,396074375,396074375,923,message_handler
"2025-10-06 10:46:22,125",INFO,faq_loader,Found match for 'РОП...' with similarity 0.706,,,,
"2025-10-06 10:46:32,744",INFO,root,Успешно отправлен файл: files/Инструкция_по_выставлению_счёта_для_безналичной_оплаты_юридическим.doc,,,,
"2025-10-06 10:46:38,547",INFO,root,Автоматически отправлен файл: files/Operational Checklist .pdf,,,,
"2025-10-06 10:46:59,457",INFO,root,User message received: /auth...,396074375,396074375,931,message_handler
"2025-10-06 10:46:59,583",INFO,faq_loader,"No matches for '/auth...' (max similarity: 0.643, threshold: 0.700)",,,,
"2025-10-06 10:46:59,584",INFO,root,Не найдено совпадений для запроса: '/auth',,,,
"2025-10-06 10:46:59,762",INFO,database,Logged unanswered question: /auth...,,,,
"2025-10-06 10:47:06,854",INFO,root,Start command received,396074375,396074375,933,start_handler
"2025-10-06 10:47:09,011",WARNING,root,Попытка 1/3 неудачна: HTTP Client says - Request timeout error. Повтор через 1 сек.,,,,
"2025-10-06 10:48:06,594",INFO,root,Автоматически отправлен файл: files/Samsung_Max_v4.6.10_MustHave.apk,,,,
"2025-10-06 10:48:18,022",INFO,root,User message received: Спасибо...,396074375,396074375,937,message_handler
"2025-10-06 10:48:18,145",INFO,faq_loader,"No matches for 'Спасибо...' (max similarity: 0.611, threshold: 0.700)",,,,
"2025-10-06 10:48:18,146",INFO,root,Не найдено совпадений для запроса: 'Спасибо',,,,
"2025-10-06 10:48:18,287",INFO,database,Logged unanswered question: Спасибо...,,,,
